Year,Anomaly
196301,0.04
196302,0.60
196303,-0.44
196304,-0.14
196305,-0.30
196306,0.08
196307,-0.10
196308,0.21
196309,0.16
196310,0.54
196311,0.38
196312,-0.02
196401,-0.32
196402,-0.29
196403,-0.35
196404,-0.56
196405,-0.33
196406,-0.13
196407,0.00
196408,-0.38
196409,-0.26
196410,-0.54
196411,-0.22
196412,-0.26
196501,0.00
196502,-0.28
196503,-0.15
196504,-0.17
196505,-0.46
196506,-0.22
196507,0.02
196508,-0.01
196509,-0.32
196510,0.04
196511,0.09
196512,-0.07
196601,-0.51
196602,-0.17
196603,-0.14
196604,-0.29
196605,-0.28
196606,0.27
196607,0.14
196608,-0.12
196609,0.15
196610,-0.46
196611,-0.05
196612,-0.07
196701,-0.31
196702,-0.36
196703,0.19
196704,0.07
196705,0.52
196706,-0.10
196707,-0.19
196708,0.10
196709,-0.12
196710,0.35
196711,0.01
196712,0.32
196801,-0.29
196802,-0.07
196803,0.80
196804,-0.02
196805,-0.49
196806,-0.55
196807,-0.25
196808,-0.23
196809,-0.52
196810,-0.16
196811,-0.46
196812,-0.61
196901,-0.83
196902,-0.86
196903,-0.29
196904,-0.20
196905,-0.01
196906,-0.30
196907,0.09
196908,-0.02
196909,0.10
196910,0.02
196911,0.20
196912,0.67
197001,0.09
197002,0.39
197003,-0.04
197004,-0.02
197005,-0.02
197006,0.11
197007,0.10
197008,-0.01
197009,0.05
197010,-0.28
197011,0.00
197012,-0.30
197101,-0.06
197102,-0.27
197103,-0.07
197104,-0.19
197105,-0.04
197106,-0.08
197107,0.00
197108,-0.04
197109,0.21
197110,-0.09
197111,0.04
197112,0.08
197201,-0.76
197202,-0.69
197203,0.13
197204,-0.06
197205,-0.10
197206,0.03
197207,-0.07
197208,0.03
197209,-0.19
197210,-0.02
197211,-0.29
197212,-0.23
197301,0.47
197302,0.62
197303,0.61
197304,0.46
197305,0.31
197306,0.46
197307,0.18
197308,0.17
197309,0.06
197310,0.00
197311,-0.03
197312,0.27
197401,-0.19
197402,-0.61
197403,0.17
197404,0.01
197405,-0.05
197406,-0.14
197407,0.10
197408,0.01
197409,-0.14
197410,-0.26
197411,-0.33
197412,-0.20
197501,0.09
197502,0.18
197503,0.32
197504,0.31
197505,0.19
197506,0.17
197507,0.07
197508,-0.06
197509,0.13
197510,-0.18
197511,-0.27
197512,0.04
197601,0.21
197602,-0.13
197603,-0.28
197604,0.20
197605,-0.21
197606,-0.17
197607,-0.16
197608,-0.10
197609,0.03
197610,-0.77
197611,-0.46
197612,-0.18
197701,-0.07
197702,0.06
197703,0.28
197704,0.43
197705,0.45
197706,0.39
197707,0.20
197708,0.15
197709,0.18
197710,-0.08
197711,0.42
197712,0.07
197801,0.10
197802,0.14
197803,0.37
197804,0.18
197805,0.06
197806,-0.17
197807,-0.07
197808,-0.22
197809,0.05
197810,-0.03
197811,0.31
197812,-0.07
197901,-0.08
197902,-0.66
197903,0.11
197904,-0.27
197905,0.06
197906,0.11
197907,0.19
197908,0.19
197909,0.24
197910,0.34
197911,0.29
197912,0.80
198001,0.27
198002,0.59
198003,0.18
198004,0.35
198005,0.49
198006,0.24
198007,0.26
198008,0.24
198009,0.14
198010,0.27
198011,0.34
198012,0.19
198101,1.24
198102,0.90
198103,0.85
198104,0.64
198105,0.42
198106,0.37
198107,0.22
198108,0.40
198109,0.22
198110,0.28
198111,0.48
198112,0.74
198201,-0.25
198202,0.21
198203,-0.06
198204,0.24
198205,0.03
198206,0.00
198207,0.24
198208,0.09
198209,0.12
198210,-0.11
198211,-0.28
198212,0.54
198301,0.72
198302,0.63
198303,0.64
198304,0.06
198305,0.18
198306,0.18
198307,0.32
198308,0.46
198309,0.46
198310,0.19
198311,0.66
198312,0.32
198401,0.45
198402,0.11
198403,0.35
198404,-0.05
198405,0.58
198406,0.16
198407,0.10
198408,0.14
198409,0.00
198410,0.23
198411,-0.06
198412,-0.19
198501,0.50
198502,-0.25
198503,0.42
198504,0.06
198505,0.28
198506,0.14
198507,-0.08
198508,0.15
198509,0.05
198510,0.05
198511,0.06
198512,0.10
198601,0.34
198602,0.76
198603,0.66
198604,0.43
198605,0.66
198606,0.17
198607,-0.09
198608,-0.02
198609,-0.44
198610,-0.08
198611,-0.13
198612,-0.07
198701,0.34
198702,0.49
198703,-0.26
198704,-0.04
198705,0.27
198706,0.47
198707,0.58
198708,0.14
198709,0.27
198710,0.16
198711,-0.20
198712,0.63
198801,0.65
198802,0.46
198803,0.51
198804,0.58
198805,0.76
198806,0.59
198807,0.56
198808,0.93
198809,0.67
198810,0.69
198811,0.10
198812,0.66
198901,-0.09
198902,0.56
198903,0.65
198904,0.67
198905,0.19
198906,0.24
198907,0.32
198908,0.29
198909,0.53
198910,0.49
198911,-0.04
198912,0.66
199001,0.60
199002,0.41
199003,1.60
199004,1.09
199005,0.73
199006,0.51
199007,0.25
199008,0.39
199009,0.21
199010,0.47
199011,0.49
199012,0.55
199101,0.59
199102,0.92
199103,0.44
199104,0.95
199105,0.58
199106,0.89
199107,0.48
199108,0.44
199109,0.57
199110,0.48
199111,0.37
199112,0.42
199201,0.78
199202,0.66
199203,0.78
199204,0.01
199205,0.42
199206,0.12
199207,-0.12
199208,-0.07
199209,-0.24
199210,-0.28
199211,-0.15
199212,0.31
199301,0.52
199302,0.67
199303,0.63
199304,0.51
199305,0.25
199306,0.29
199307,0.42
199308,-0.16
199309,0.12
199310,0.19
199311,-0.15
199312,0.12
199401,0.23
199402,-0.30
199403,0.40
199404,0.68
199405,0.34
199406,0.70
199407,0.34
199408,0.20
199409,0.27
199410,0.69
199411,0.52
199412,0.44
199501,0.94
199502,1.59
199503,0.75
199504,0.88
199505,0.35
199506,0.82
199507,0.59
199508,0.77
199509,0.74
199510,0.73
199511,0.81
199512,0.41
199601,0.31
199602,0.84
199603,0.44
199604,0.45
199605,0.38
199606,0.42
199607,0.46
199608,0.62
199609,0.19
199610,-0.05
199611,0.76
199612,0.51
199701,0.28
199702,0.48
199703,0.81
199704,0.53
199705,0.41
199706,0.72
199707,0.21
199708,0.36
199709,0.66
199710,0.92
199711,0.84
199712,0.56
199801,0.56
199802,1.30
199803,0.93
199804,0.95
199805,0.90
199806,1.11
199807,0.99
199808,0.99
199809,0.64
199810,0.51
199811,0.49
199812,1.02
199901,0.79
199902,1.31
199903,0.35
199904,0.37
199905,0.39
199906,0.48
199907,0.65
199908,0.44
199909,0.84
199910,0.64
199911,0.67
199912,0.90
200001,0.47
200002,1.07
200003,1.14
200004,1.19
200005,0.56
200006,0.54
200007,0.60
200008,0.68
200009,0.55
200010,0.28
200011,0.32
200012,0.20
200101,0.61
200102,0.67
200103,0.84
200104,0.78
200105,0.84
200106,0.68
200107,0.90
200108,0.49
200109,0.83
200110,0.45
200111,1.26
200112,1.01
200201,1.17
200202,1.19
200203,1.58
200204,0.68
200205,1.01
200206,0.57
200207,0.82
200208,0.72
200209,1.07
200210,0.77
200211,1.00
200212,0.52
200301,1.23
200302,0.79
200303,0.83
200304,0.91
200305,0.97
200306,0.58
200307,0.76
200308,0.69
200309,0.88
200310,1.25
200311,0.67
200312,1.35
200401,0.78
200402,0.94
200403,1.01
200404,0.96
200405,0.41
200406,0.55
200407,-0.01
200408,0.31
200409,0.57
200410,0.82
200411,1.20
200412,0.55
200501,1.33
200502,0.97
200503,1.35
200504,1.17
200505,1.09
200506,0.97
200507,0.90
200508,0.70
200509,1.22
200510,1.38
200511,1.56
200512,1.48
200601,1.07
200602,1.60
200603,1.20
200604,0.68
200605,0.61
200606,0.97
200607,0.64
200608,1.15
200609,1.04
200610,1.08
200611,1.13
200612,1.37
200701,1.86
200702,1.22
200703,1.27
200704,1.66
200705,1.18
200706,0.83
200707,0.93
200708,0.99
200709,1.10
200710,1.17
200711,1.24
200712,1.12
200801,0.33
200802,0.51
200803,1.65
200804,0.90
200805,0.85
200806,0.70
200807,0.79
200808,0.48
200809,0.98
200810,1.25
200811,1.39
200812,0.94
200901,1.24
200902,0.80
200903,0.82
200904,0.89
200905,0.86
200906,0.67
200907,0.93
200908,0.92
200909,1.20
200910,1.02
200911,1.37
200912,0.86
201001,1.03
201002,1.24
201003,1.54
201004,1.52
201005,1.23
201006,0.99
201007,0.90
201008,0.97
201009,0.92
201010,1.26
201011,1.69
201012,0.83
201101,0.93
201102,0.78
201103,1.26
201104,1.19
201105,0.82
201106,0.95
201107,1.27
201108,1.25
201109,1.03
201110,1.44
201111,1.06
201112,1.21
201201,0.77
201202,0.89
201203,0.92
201204,1.44
201205,1.32
201206,1.04
201207,0.87
201208,0.86
201209,1.18
201210,1.33
201211,1.43
201212,0.67
201301,1.23
201302,0.96
201303,1.10
201304,0.73
201305,0.98
201306,1.03
201307,0.69
201308,0.95
201309,1.25
201310,1.02
201311,1.44
201312,1.25
201401,1.26
201402,0.70
201403,1.51
201404,1.43
201405,1.38
201406,0.84
201407,0.54
201408,1.12
201409,1.26
201410,1.21
201411,0.89
201412,1.23
201501,1.33
201502,1.61
201503,1.75
201504,1.13
201505,1.05
201506,1.16
201507,0.81
201508,0.98
201509,1.13
201510,1.71
201511,1.59
201512,1.80
201601,1.99
201602,2.50
201603,2.49
201604,1.93
201605,1.49
201606,0.95
201607,1.03
201608,1.40
201609,1.35
201610,1.30
201611,1.68
201612,1.52
201701,1.81
201702,1.96
201703,2.13
201704,1.52
201705,1.33
201706,0.90
201707,0.99
201708,1.19
201709,1.17
201710,1.48
201711,1.57
201712,1.90
201801,1.39
201802,1.60
201803,1.62
201804,1.43
201805,1.17
201806,1.00
201807,1.10
201808,0.95
201809,1.08
201810,1.78
201811,1.11
201812,1.41
201901,1.42
201902,1.37
201903,2.14
201904,1.68
201905,1.29
