Year,Anomaly
196301,0.02
196302,0.21
196303,-0.13
196304,0.01
196305,-0.02
196306,0.09
196307,0.04
196308,0.17
196309,0.13
196310,0.21
196311,0.19
196312,0.05
196401,-0.08
196402,-0.11
196403,-0.15
196404,-0.24
196405,-0.15
196406,-0.05
196407,-0.01
196408,-0.19
196409,-0.15
196410,-0.27
196411,-0.20
196412,-0.24
196501,-0.09
196502,-0.15
196503,-0.11
196504,-0.11
196505,-0.19
196506,-0.08
196507,0.00
196508,0.01
196509,-0.07
196510,0.01
196511,0.03
196512,-0.02
196601,-0.14
196602,-0.05
196603,-0.03
196604,-0.07
196605,-0.10
196606,0.10
196607,0.09
196608,-0.02
196609,0.06
196610,-0.14
196611,0.01
196612,0.01
196701,-0.11
196702,-0.15
196703,0.05
196704,0.00
196705,0.21
196706,0.02
196707,-0.02
196708,0.08
196709,-0.04
196710,0.12
196711,-0.04
196712,0.03
196801,-0.19
196802,-0.10
196803,0.17
196804,-0.04
196805,-0.17
196806,-0.13
196807,-0.05
196808,-0.03
196809,-0.11
196810,0.04
196811,-0.05
196812,-0.07
196901,-0.08
196902,-0.11
196903,0.08
196904,0.11
196905,0.18
196906,0.00
196907,0.10
196908,0.10
196909,0.14
196910,0.10
196911,0.15
196912,0.32
197001,0.15
197002,0.21
197003,0.07
197004,0.08
197005,0.05
197006,0.05
197007,0.02
197008,0.03
197009,0.06
197010,-0.03
197011,0.04
197012,-0.10
197101,-0.02
197102,-0.15
197103,-0.09
197104,-0.09
197105,-0.03
197106,-0.07
197107,-0.01
197108,-0.03
197109,0.01
197110,-0.07
197111,-0.05
197112,-0.05
197201,-0.24
197202,-0.16
197203,0.06
197204,0.05
197205,0.00
197206,0.07
197207,0.06
197208,0.09
197209,0.03
197210,0.11
197211,0.06
197212,0.14
197301,0.34
197302,0.38
197303,0.34
197304,0.28
197305,0.24
197306,0.25
197307,0.15
197308,0.13
197309,0.11
197310,0.06
197311,0.02
197312,0.04
197401,-0.08
197402,-0.24
197403,-0.01
197404,-0.06
197405,-0.02
197406,-0.06
197407,0.04
197408,0.04
197409,-0.02
197410,-0.06
197411,-0.10
197412,-0.06
197501,0.06
197502,0.08
197503,0.11
197504,0.11
197505,0.08
197506,0.06
197507,0.03
197508,-0.02
197509,0.03
197510,-0.12
197511,-0.17
197512,-0.10
197601,-0.01
197602,-0.08
197603,-0.13
197604,0.04
197605,-0.12
197606,-0.05
197607,-0.03
197608,0.00
197609,0.03
197610,-0.16
197611,-0.03
197612,0.11
197701,0.20
197702,0.22
197703,0.24
197704,0.27
197705,0.28
197706,0.26
197707,0.18
197708,0.16
197709,0.20
197710,0.12
197711,0.23
197712,0.11
197801,0.15
197802,0.15
197803,0.22
197804,0.14
197805,0.10
197806,0.05
197807,0.06
197808,0.00
197809,0.09
197810,0.06
197811,0.20
197812,0.12
197901,0.14
197902,-0.06
197903,0.20
197904,0.10
197905,0.17
197906,0.23
197907,0.23
197908,0.25
197909,0.27
197910,0.31
197911,0.31
197912,0.50
198001,0.35
198002,0.42
198003,0.31
198004,0.32
198005,0.38
198006,0.28
198007,0.27
198008,0.22
198009,0.20
198010,0.20
198011,0.27
