Year,Anomaly
196301,0.01
196302,0.04
196303,0.01
196304,0.07
196305,0.11
196306,0.10
196307,0.10
196308,0.16
196309,0.12
196310,0.06
196311,0.10
196312,0.07
196401,0.02
196402,-0.02
196403,-0.06
196404,-0.09
196405,-0.07
196406,-0.01
196407,-0.01
196408,-0.10
196409,-0.10
196410,-0.14
196411,-0.19
196412,-0.22
196501,-0.12
196502,-0.09
196503,-0.09
196504,-0.08
196505,-0.07
196506,-0.01
196507,-0.01
196508,0.02
196509,0.04
196510,0.00
196511,0.00
196512,0.00
196601,0.03
196602,0.01
196603,0.03
196604,0.02
196605,-0.03
196606,0.03
196607,0.07
196608,0.02
196609,0.02
196610,0.00
196611,0.03
196612,0.04
196701,-0.02
196702,-0.06
196703,-0.02
196704,-0.03
196705,0.07
196706,0.07
196707,0.05
196708,0.08
196709,-0.01
196710,0.01
196711,-0.06
196712,-0.09
196801,-0.14
196802,-0.11
196803,-0.11
196804,-0.06
196805,-0.03
196806,0.05
196807,0.04
196808,0.06
196809,0.07
196810,0.12
196811,0.13
196812,0.17
196901,0.25
196902,0.23
196903,0.25
196904,0.25
196905,0.26
196906,0.13
196907,0.11
196908,0.15
196909,0.16
196910,0.13
196911,0.13
196912,0.17
197001,0.18
197002,0.13
197003,0.12
197004,0.13
197005,0.08
197006,0.02
197007,-0.01
197008,0.05
197009,0.06
197010,0.08
197011,0.06
197012,-0.01
197101,0.00
197102,-0.10
197103,-0.10
197104,-0.05
197105,-0.03
197106,-0.06
197107,-0.01
197108,-0.02
197109,-0.08
197110,-0.07
197111,-0.10
197112,-0.11
197201,0.00
197202,0.07
197203,0.03
197204,0.09
197205,0.05
197206,0.09
197207,0.12
197208,0.11
197209,0.13
197210,0.17
197211,0.22
197212,0.30
197301,0.28
197302,0.27
197303,0.23
197304,0.20
197305,0.20
197306,0.15
197307,0.14
197308,0.12
197309,0.13
197310,0.09
197311,0.04
197312,-0.06
197401,-0.03
197402,-0.07
197403,-0.09
197404,-0.09
197405,-0.01
197406,-0.02
197407,0.01
197408,0.06
197409,0.03
197410,0.02
197411,0.01
197412,0.00
197501,0.04
197502,0.03
197503,0.02
197504,0.01
197505,0.03
197506,0.01
197507,0.02
197508,-0.01
197509,-0.01
197510,-0.09
197511,-0.13
197512,-0.16
197601,-0.11
197602,-0.06
197603,-0.06
197604,-0.03
197605,-0.07
197606,0.00
197607,0.03
197608,0.05
197609,0.03
197610,0.11
197611,0.17
197612,0.25
197701,0.31
197702,0.29
197703,0.23
197704,0.21
197705,0.20
197706,0.20
197707,0.17
197708,0.16
197709,0.21
197710,0.20
197711,0.14
197712,0.13
197801,0.17
197802,0.15
197803,0.16
197804,0.12
197805,0.12
197806,0.14
197807,0.12
197808,0.10
197809,0.12
197810,0.11
197811,0.16
197812,0.20
197901,0.23
197902,0.21
197903,0.24
197904,0.26
197905,0.22
197906,0.28
197907,0.25
197908,0.28
197909,0.29
197910,0.30
197911,0.32
197912,0.37
198001,0.39
198002,0.35
198003,0.37
198004,0.31
198005,0.33
198006,0.30
198007,0.28
198008,0.21
198009,0.23
198010,0.17
198011,0.23
198012,0.24
198101,0.23
198102,0.22
198103,0.26
198104,0.25
198105,0.26
198106,0.32
198107,0.28
198108,0.20
198109,0.23
198110,0.23
198111,0.24
198112,0.31
198201,0.27
198202,0.20
198203,0.19
198204,0.20
198205,0.24
198206,0.22
198207,0.16
198208,0.18
198209,0.28
198210,0.30
198211,0.31
198212,0.34
198301,0.41
198302,0.38
198303,0.35
198304,0.34
198305,0.33
198306,0.36
198307,0.30
198308,0.31
198309,0.29
198310,0.25
198311,0.24
198312,0.24
198401,0.25
198402,0.26
198403,0.25
198404,0.20
198405,0.20
198406,0.17
198407,0.18
198408,0.21
198409,0.28
198410,0.18
198411,0.18
198412,0.17
198501,0.18
198502,0.22
198503,0.17
198504,0.14
198505,0.19
198506,0.16
198507,0.18
198508,0.15
198509,0.21
